Title,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,License
The Blair Witch Project,Artisan Entertainment,16-Jul-99,140539099,108100000,248639099,Horror,R
Ghostbusters,Columbia Pictures,8-Jun-84,243578797,53000000,296578797,Action|Comedy|Fantasy|Sci-Fi,NA
Tootsie,Columbia Pictures,17-Dec-82,177200000,177200000,177200000,Comedy|Drama|Romance,NA
A Few Good Men,Columbia Pictures,11-Dec-92,141340178,101900000,243240178,Drama|Thriller,R
Stripes,Columbia Pictures,NA,85297000,85297000,85297000,Action|Comedy|War,NA
Spy Kids 3-D: Game Over,Dimension Films,25-Jul-03,111761982,85339696,197101678,Action|Adventure|Comedy|Family|Sci-Fi,PG
Scary Movie 3,Dimension Films,24-Oct-03,110003217,110670000,220673217,Comedy,PG-13
Scream,Dimension Films,20-Dec-96,103046663,70000000,173046663,Horror|Mystery,R
Scream 2,Dimension Films,12-Dec-97,101363301,71000000,172363301,Horror|Mystery,R
Scary Movie 4,Dimension Films,12-Apr-06,90710620,87552000,178262620,Comedy,PG-13
Scream 3,Dimension Films,4-Feb-00,89143175,72691101,161834276,Horror|Mystery,R
Spy Kids 2: Island of Lost Dreams,Dimension Films,7-Aug-02,85846429,33876929,119723358,Action|Adventure|Comedy|Family|Sci-Fi,PG
Transformers: Revenge of the Fallen,DreamWorks,19-Jun-09,402111870,434191823,836303693,Action|Adventure|Sci-Fi,PG-13
Transformers: Dark of the Moon,DreamWorks,29-Jun-11,352390543,771403536,1123794079,Action|Adventure|Sci-Fi,PG-13
Shrek the Third,DreamWorks,17-May-07,322719944,490647436,813367380,Adventure|Animation|Comedy|Family|Fantasy,PG
Transformers,DreamWorks,28-Jun-07,319246193,390463587,709709780,Action|Adventure|Sci-Fi,PG-13
Shrek Forever After,DreamWorks,20-May-10,238736787,513864080,752600867,Adventure|Animation|Comedy|Family|Fantasy,PG
How to Train Your Dragon,DreamWorks,18-Mar-10,217581231,277298240,494879471,Adventure|Animation|Family|Fantasy,PG
Madagascar 3: Europe's Most Wanted,DreamWorks,6-Jun-12,216391482,530529792,746921274,Adventure|Animation|Comedy|Family,PG
Kung Fu Panda,DreamWorks,5-Jun-08,215434591,416311606,631746197,Action|Adventure|Animation|Comedy|Family,PG
Madagascar: Escape 2 Africa,DreamWorks,30-Oct-08,180010950,423889404,603900354,Action|Adventure|Animation|Comedy|Family,PG
Kung Fu Panda 2,DreamWorks,26-May-11,165249063,500443218,665692281,Action|Adventure|Animation|Comedy|Family,PG
